model,N,n_qubits,noise_regime,noise_level,replicate,train_auc,val_score,test_auc,gen_gap,best_epoch,restarts_used,escaped,n_train,n_params,seed,train_secs
non_equivariant,50,4,none,none,13,0.78,1.0,0.642126,0.13787400000000005,39,1,True,50,61,3813581952,7.61
classical_matched,50,0,none,none,13,0.6475,0.8400000000000001,0.51828,0.12922,26,1,True,50,61,3813581952,0.18
non_equivariant,50,4,none,none,15,0.8320802005012531,1.0,0.7037475,0.12833270050125312,31,1,True,50,61,2512101340,6.17
classical_reference,200,0,none,none,3,0.8923269260822003,0.9649122807017544,0.855283,0.03704392608220031,26,1,True,200,641,3531259822,0.25
equivariant,200,4,correlated,high,8,0.8619607843137255,0.8666666666666667,0.8563729999999998,0.005587784313725641,26,1,True,200,61,4118718478,131.41
non_equivariant,50,4,none,none,7,0.6441102756892231,0.75,0.632783,0.011327275689223093,26,1,True,50,61,347617362,4.15
non_equivariant,200,2,correlated,high,9,0.7402352941176471,0.9120000000000001,0.786554,-0.04631870588235287,39,1,True,200,27,4248224799,166.64
equivariant,20,4,none,none,7,0.71875,1.0,0.6146005,0.1041495,26,1,True,20,61,111686563,5.38
non_equivariant,200,4,none,none,0,0.8159787367104441,0.6464646464646463,0.76146,0.05451873671044405,26,1,True,200,61,3832603222,9.05
classical_reference,20,0,none,none,18,0.7142857142857143,1.0,0.40470000000000006,0.30958571428571424,26,1,True,20,641,1255801022,0.16
classical_matched,200,0,none,none,16,0.641527147551244,0.5421994884910486,0.543795,0.09773214755124393,26,1,True,200,61,337769034,0.27
classical_matched,1000,0,none,none,18,0.6351054852320677,0.611328320802005,0.6398280000000001,-0.004722514767932395,31,1,True,1000,61,2962707801,0.99
equivariant,200,4,correlated,mid,4,0.8857098186366479,0.9595959595959596,0.8401224999999999,0.045587318636648,31,1,True,200,61,359623383,143.05
classical_matched,200,0,none,none,5,0.5646874999999999,0.5425,0.611502,-0.04681450000000009,26,1,True,200,61,2273803658,0.18
non_equivariant,500,4,none,none,10,0.8897811131957474,0.9127272727272727,0.8424595,0.04732161319574735,43,1,True,500,61,3304172403,43.84
equivariant,100,4,none,none,8,0.8634920634920635,0.84,0.750044,0.11344806349206349,26,1,True,100,61,3190491786,5.86
non_equivariant,200,2,none,none,3,0.8568526332239412,0.9423558897243108,0.8362965,0.02055613322394123,34,1,True,200,27,3531259822,6.82
equivariant,1000,4,none,none,2,0.9052306576916106,0.866986698669867,0.8643245000000002,0.040906157691610434,55,1,True,1000,61,3221595973,81.55
non_equivariant,200,8,correlated,mid,3,0.8877949679637444,0.9097744360902255,0.832865,0.054929967963744386,43,1,True,200,153,3531259822,4658.96
non_equivariant,200,2,none,none,4,0.9246404002501564,0.9722222222222222,0.849389,0.07525140025015642,55,1,True,200,27,359623383,10.81
non_equivariant,500,4,none,none,8,0.9154728868221705,0.8655462184873949,0.8503749999999999,0.06509788682217066,79,1,True,500,61,2866951253,61.72
